nprocs, p, data_volume, runtime
128, 0.70, 0.001000, 0.0005907059
128, 0.80, 0.001000, 0.0005910873
128, 0.90, 0.001000, 0.0006085157
256, 0.10, 0.001000, 0.0017642975
256, 0.20, 0.001000, 0.0009578943
256, 0.30, 0.001000, 0.0008488894
256, 0.40, 0.001000, 0.0009204149
256, 0.50, 0.001000, 0.0008368015
256, 0.60, 0.001000, 0.0008433819
256, 0.70, 0.001000, 0.0008471966
256, 0.80, 0.001000, 0.0008460045
256, 0.90, 0.001000, 0.0008378029
512, 0.10, 0.001000, 0.0030812025
512, 0.20, 0.001000, 0.0020937920
512, 0.30, 0.001000, 0.0014805079
512, 0.40, 0.001000, 0.0019093037
512, 0.50, 0.001000, 0.0018203020
512, 0.60, 0.001000, 0.0016324997
512, 0.70, 0.001000, 0.0019027948
512, 0.80, 0.001000, 0.0015115976
512, 0.90, 0.001000, 0.0014909029
1024, 0.10, 0.001000, 0.0053062916
1024, 0.20, 0.001000, 0.0029480934
1024, 0.30, 0.001000, 0.0027173996
1024, 0.40, 0.001000, 0.0027501106
1024, 0.50, 0.001000, 0.0032094955
1024, 0.60, 0.001000, 0.0039366007
1024, 0.70, 0.001000, 0.0042824030
1024, 0.80, 0.001000, 0.0025755882
1024, 0.90, 0.001000, 0.0026988983
2048, 0.10, 0.001000, 0.0059076071
2048, 0.20, 0.001000, 0.0052268028
2048, 0.30, 0.001000, 0.0056122065
2048, 0.40, 0.001000, 0.0047914028
2048, 0.50, 0.001000, 0.0038915873
2048, 0.60, 0.001000, 0.0056251049
2048, 0.70, 0.001000, 0.0083204031
2048, 0.80, 0.001000, 0.0059633970
2048, 0.90, 0.001000, 0.0068791151
4096, 0.10, 0.001000, 0.0125493050
4096, 0.20, 0.001000, 0.0115339041
4096, 0.30, 0.001000, 0.0106878996
4096, 0.40, 0.001000, 0.0095161915
4096, 0.50, 0.001000, 0.0142027140
4096, 0.60, 0.001000, 0.0138712168
4096, 0.70, 0.001000, 0.0158577919
4096, 0.80, 0.001000, 0.0143120050
4096, 0.90, 0.001000, 0.0131901979
8192, 0.10, 0.001000, 0.0158481121
8192, 0.20, 0.001000, 0.0137443066
8192, 0.30, 0.001000, 0.0135383844
8192, 0.40, 0.001000, 0.0145730019
8192, 0.50, 0.001000, 0.0147778988
8192, 0.60, 0.001000, 0.0131529093
8192, 0.70, 0.001000, 0.0126780033
8192, 0.80, 0.001000, 0.0127500057
8192, 0.90, 0.001000, 0.0113207817
16384, 0.10, 0.001000, 0.0351015091
16384, 0.20, 0.001000, 0.0288037062
16384, 0.30, 0.001000, 0.0262641907
16384, 0.40, 0.001000, 0.0222779989
16384, 0.50, 0.001000, 0.0208144903
16384, 0.60, 0.001000, 0.0237521887
16384, 0.70, 0.001000, 0.0263267994
16384, 0.80, 0.001000, 0.0208877087
16384, 0.90, 0.001000, 0.0218809843
32768, 0.10, 0.001000, 0.0735337019
32768, 0.20, 0.001000, 0.0756830931
32768, 0.30, 0.001000, 0.0580228090
32768, 0.40, 0.001000, 0.0564430952
32768, 0.50, 0.001000, 0.0504572153
32768, 0.60, 0.001000, 0.0601205111
32768, 0.70, 0.001000, 0.0613574982
32768, 0.80, 0.001000, 0.0567595005
32768, 0.90, 0.001000, 0.0587814808
192, 0.10, 0.001000, 0.0014887810
192, 0.20, 0.001000, 0.0006382942
192, 0.30, 0.001000, 0.0005450010
192, 0.40, 0.001000, 0.0005491018
192, 0.50, 0.001000, 0.0005151033
192, 0.60, 0.001000, 0.0005000830
192, 0.70, 0.001000, 0.0004997969
192, 0.80, 0.001000, 0.0005239010
192, 0.90, 0.001000, 0.0005125046
320, 0.10, 0.001000, 0.0019386053
320, 0.20, 0.001000, 0.0009576082
320, 0.30, 0.001000, 0.0009358168
320, 0.40, 0.001000, 0.0007853985
320, 0.50, 0.001000, 0.0007855892
320, 0.60, 0.001000, 0.0007838011
320, 0.70, 0.001000, 0.0008631945
